date,startup,vertical,city,investors,round,amount_crore_rs,month,day,year
2020-01-09,BYJU’S,E-Tech,Bengaluru,Tiger Global Management,Private Equity Round,1650.0,1,9,2020
2020-01-13,Shuttl,Transport,Gurugram,Susquehanna Growth Equity,Series C,66.3992505,1,13,2020
2020-01-09,Mamaearth,E-commerce,Bengaluru,Sequoia Capital India,Series B,151.460595,1,9,2020
2020-01-02,WealthBucket,FinTech,New Delhi,Vinod Khatumal,Pre-series A,24.75,1,2,2020
2020-01-02,Fashor,Fashion & Apparel,Mumbai,Sprout Venture Partners,Seed Round,14.85,1,2,2020
2020-01-13,Pando,Logistics,Chennai,Chiratae Ventures,Series A,74.25,1,13,2020
2020-01-10,Zomato,Hospitality,Gurugram,Ant Financial,Private Equity Round,1237.5,1,10,2020
2019-12-12,Ecozen,Tech,Pune,Sathguru Catalyzer Advisors,Series A,49.5,12,12,2019
2019-12-06,CarDekho,E-Commerce,Gurugram,Ping An Global Voyager Fund,Series D,577.5,12,6,2019
2019-12-03,Dhruva Space,Aerospace,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,412.5,12,3,2019
2019-12-13,Rivigo,Tech,Gurugram,"SAIF Partners, Spring Canter Investment Ltd.",Series F,165.0,12,13,2019
2019-12-17,Healthians,B2B-Focused Foodtech Startup,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,99.0,12,17,2019
2019-12-16,Licious,E-Commerce,Bengaluru,Vertex Growth Fund,Series E,247.5,12,16,2019
2019-12-14,Trell,Video,Bengaluru,Ruizheng Investment,Seed Round,16.5,12,14,2019
2019-12-11,Rein Games,Gaming,Noida,Manipal Education and Medical Group (MEMG),Seed Round,412.5,12,11,2019
2019-12-20,Lenskart,E-Commerce,Faridabad,SoftBank Vision Fund,Series G,1905.75,12,20,2019
2019-11-13,Freshworks,Software,San Francisco,"Sequoia, CapitalG, Accel",Series H,1237.5,11,13,2019
2019-11-14,Misters,Health & wellness,Gurugram,"Sauce.vc, Rainforest Ventures",Series B,4.0095,11,14,2019
2019-11-13,Sunstone Eduversity,Education,Gurugram,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,12.375,11,13,2019
2019-11-17,Burger Singh,Food & Beverage,Gurugram,RB Investments,Venture,0.0,11,17,2019
2019-11-18,Healthians,Health & Wellness,Gurugram,"DG Daiwa Ventures, DG Incubation",Series B,99.0,11,18,2019
2019-11-15,Ninjacart,B2B Marketing,Bengaluru,Trifecta Capital Advisors,Debt Funding,214.5,11,15,2019
2019-11-20,Aye Finance,FinTech,Gurugram,FinTech,Debt Funding,143.64293625,11,20,2019
2019-11-12,SuperGaming,Video Games,Pune,Dream Incubator,Seed Funding,10.725,11,12,2019
2019-11-20,Clumio,SaaS,San Jose,"Altimeter Capital, Sutter Hill Ventures",Series C,1113.75,11,20,2019
2019-11-11,eBikeGo,Last-Mile Transportation,Amritsar,Startup Buddy,Seed,2.475,11,11,2019
2019-11-19,Digital Mall Asia,E-Commerce,Delhi,Amour Infrastructure,Seed Funding,1815.0,11,19,2019
2019-11-18,Medikabazaar,Healthcare,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,130.35,11,18,2019
2019-11-15,Vogo,Last-Mile Transportation,Kormangala,"Matrix Partners, Stellaris Venture Partners, Kalaari Capital",Series B,2334.75,11,15,2019
2019-11-25,Paytm,FinTech,Noida,Vijay Shekhar Sharma,Funding Round,8250.0,11,25,2019
2019-10-04,Dunzo,Customer Service,Bengaluru,Lightbox,Series D,371.25,10,4,2019
2019-10-02,Udaan,B2B,Bengaluru,"Altimeter Capital, DST Global",Series D,4826.25,10,2,2019
2019-10-21,The Man Company,Consumer Goods,Gurugram,Ayushmann Khurana,Corporate Round,0.0,10,21,2019
2019-09-05,FPL Technologies,FinTech,Pune,"Matrix Partners India, Sequoia India",Maiden Round,37.125,9,5,2019
2019-09-04,Cashflo,FinTech,Mumbai,SAIF Partners,Series A,27.225,9,4,2019
2019-09-04,Digital F5,Advertising & Marketing,Mumbai,TIW Private Equity,Private Equity Round,49.5,9,4,2019
2019-09-04,3rdFlix,SaaS,Hyderabad,Exfinity Venture Partners,pre-series A,41.25,9,4,2019
2019-09-04,75F,IoT,Burnsville,Breakthrough Energy Ventures,Series A,148.5,9,4,2019
2019-09-04,Myelin Foundry,IT,Bengaluru,Endiya Partners,Seed,8.25,9,4,2019
2019-09-04,Atomberg,Consumer Technology,Mumbai,A91 Partners,Series A,82.5,9,4,2019
2019-09-04,GOQii,Health & Wellness,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,3712.5,9,4,2019
2019-09-03,Vyapar App,Accounting,Bengaluru,"India Quotient, Axilor Ventures",Series A,41.25,9,3,2019
2019-08-01,CarDekho,E-Commerce,Gurugram,SC GG India Mobility Holdings LLC,Series C,165.0,8,1,2019
2019-08-01,Progcap,Finance,New Delhi,Sequoia India,Series A,41.25,8,1,2019
2019-08-01,Alteria Capital,Finance,Mumbai,"Azim Premji, Binny Bansal",Single Venture,1155.0,8,1,2019
2019-08-01,Pine Labs,IT,Noida,Pine Labs Pte Ltd,Corporate Round,314.16,8,1,2019
2019-08-12,Meesho,E-Commerce,Bengaluru,Naspers,Series D,1031.25,8,12,2019
2019-08-13,Cars24,E-Commerce,Gurugram,MS Dhoni,Series D,90.75,8,13,2019
2019-08-13,Uniphore,Customer Service Platform,Palo Alto,March Capital Partners,Series C,420.75,8,13,2019
2019-08-23,ZenDrive,Automotive,San Francisco,XL Innovate,Series B,305.25,8,23,2019
2019-08-23,Lo! Foods,Consumer Goods,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Round,4.125,8,23,2019
2019-08-23,Tala,FinTech,Santa Monica,RPS Ventures,Series D,907.5,8,23,2019
2019-08-22,INDwealth,FinTech,Gurugram,Tiger Global Management,Venture Round,123.75,8,22,2019
2019-08-21,HungerBox,Food & Beverage,Bengaluru,One97 Communications Ltd.,Series C,54.3675,8,21,2019
2019-08-23,AdmitKard,EdTech,Noida,Growth DNA,Seed Round,8.25,8,23,2019
2019-08-19,Mishry Reviews,Services,Gurugram,Vir Sanghvi,Series A,0.0,8,19,2019
2019-08-19,Grofers,E-Commerce,Gurugram,Softbank Vision Fund,Series F,577.5,8,19,2019
2019-08-27,Rapido,Transport,Bengaluru,Westbridge Capital,Series B,32175.0,8,27,2019
2019-07-02,RenewBuy,Finance,Gurugram,"Lok Capital, IIFL Wealth",Series B,156.75,7,2,2019
2019-07-02,Atlan,IT,Singapore,WaterBridge Ventures,Pre-Series A,20.625,7,2,2019
2019-07-01,WizCounsel,Compliance,New Delhi,Kapil Dev,Angel,1.19625,7,1,2019
2019-07-03,Ola,Transport,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,8.25,7,3,2019
2019-07-01,Uniphore,Artificial Intelligence,Taramani,March Capital Partners,Series C,314.16,7,1,2019
